City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
44,Iqaluit,CA,63.7506,-68.5145,-0.31,70,100,3.44,overcast clouds,2022-04-18 18:49:14
45,Tikapur,NP,28.5,81.1333,80.26,16,0,5.82,clear sky,2022-04-18 18:49:15
46,Dibombari,CM,4.1787,9.6561,78.39,89,100,3.83,light rain,2022-04-18 18:49:15
47,Dhamtari,IN,20.7072,81.5497,85.86,20,5,6.69,clear sky,2022-04-18 18:49:15
48,Camacha,PT,33.0833,-16.3333,60.22,72,75,14.97,broken clouds,2022-04-18 18:49:16
49,Muisne,EC,0.6,-80.0333,80.65,73,92,10.54,overcast clouds,2022-04-18 18:49:16
50,Bom Jesus Do Itabapoana,BR,-21.1339,-41.6797,74.95,72,85,4.68,overcast clouds,2022-04-18 18:49:17
51,Souillac,MU,-20.5167,57.5167,79.18,94,40,10.36,scattered clouds,2022-04-18 18:49:17
52,Niamey,NE,13.5137,2.1098,98.89,8,100,6.91,overcast clouds,2022-04-18 18:49:17
53,Mahebourg,MU,-20.4081,57.7,79.25,94,40,10.36,scattered clouds,2022-04-18 18:49:18
54,Saint George,US,37.1041,-113.5841,84.63,11,0,4.61,clear sky,2022-04-18 18:47:55
55,Upernavik,GL,72.7868,-56.1549,9.0,90,100,2.8,light snow,2022-04-18 18:49:18
56,Qaanaaq,GL,77.484,-69.3632,-7.92,80,9,1.68,clear sky,2022-04-18 18:49:19
57,Peto,MX,20.1333,-88.9167,101.08,20,1,4.25,clear sky,2022-04-18 18:46:16
58,Banepa,NP,27.6298,85.5214,66.52,77,20,3.44,mist,2022-04-18 18:49:19
59,Ambilobe,MG,-13.2,49.05,74.59,92,48,2.89,scattered clouds,2022-04-18 18:49:20
60,Uryupinsk,RU,50.8047,42.0138,54.61,65,100,11.34,overcast clouds,2022-04-18 18:49:20
61,Carballo,ES,43.213,-8.691,53.76,83,90,9.51,overcast clouds,2022-04-18 18:49:20
62,Bluefields,NI,12.0137,-83.7635,87.87,70,40,6.91,scattered clouds,2022-04-18 18:49:21
63,Plavsk,RU,53.7094,37.2919,38.64,97,100,13.24,light rain,2022-04-18 18:49:21
64,Manicore,BR,-5.8092,-61.3003,85.98,70,96,1.97,overcast clouds,2022-04-18 18:49:22
65,Gashua,NG,12.871,11.0482,87.15,32,82,8.28,broken clouds,2022-04-18 18:49:22
66,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,65,29,13.51,scattered clouds,2022-04-18 18:49:22
67,Bar-Le-Duc,FR,48.75,5.1667,59.38,71,100,5.3,overcast clouds,2022-04-18 18:45:00
68,Cajati,BR,-24.7361,-48.1228,71.08,74,80,3.91,broken clouds,2022-04-18 18:46:15
69,Aljezur,PT,37.3191,-8.8033,58.3,76,0,22.5,clear sky,2022-04-18 18:49:23
70,Laguna,US,38.421,-121.4238,66.78,54,0,9.22,clear sky,2022-04-18 18:49:23
71,Libohove,AL,40.0311,20.2631,44.78,96,100,4.14,overcast clouds,2022-04-18 18:49:23
