City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Korla,41.7597,86.1469,56.59,37,47,5.64,CN,2022-04-12 00:11:30
123,Kyzyl-Suu,42.3414,78.0056,51.31,45,93,6.62,KG,2022-04-12 00:10:42
124,Meridian,43.6121,-116.3915,45.16,39,0,28.77,US,2022-04-12 00:13:01
125,Anloga,5.7947,0.8973,82.17,85,26,10.13,GH,2022-04-12 00:14:31
126,Eresos,39.1667,25.9333,50.59,62,18,9.51,GR,2022-04-12 00:14:32
127,San-Pedro,4.7485,-6.6363,78.39,92,77,5.06,CI,2022-04-12 00:14:32
128,Hammerfest,70.6634,23.6821,32.45,100,75,26.46,NO,2022-04-12 00:14:33
129,Vardo,70.3705,31.1107,32.86,99,100,5.14,NO,2022-04-12 00:09:11
130,Otjimbingwe,-22.35,16.1333,70.57,30,0,2.53,NA,2022-04-12 00:14:34
131,Olavarria,-36.8927,-60.3225,55.02,76,36,1.57,AR,2022-04-12 00:14:34
132,Port-Gentil,-0.7193,8.7815,80.24,85,42,12.64,GA,2022-04-12 00:07:53
133,Togur,58.3631,82.8265,18.55,97,44,4.25,RU,2022-04-12 00:14:34
134,Bathsheba,13.2167,-59.5167,79.41,83,75,14.97,BB,2022-04-12 00:09:28
135,Chavakkad,10.5333,76.05,80.4,84,100,2.64,IN,2022-04-12 00:14:35
136,Ambilobe,-13.2,49.05,70.77,90,75,3.38,MG,2022-04-12 00:09:02
137,Faya,18.3851,42.4509,61.32,48,2,1.81,SA,2022-04-12 00:09:13
138,Conakry,9.538,-13.6773,77.72,81,35,6.4,GN,2022-04-12 00:14:36
139,La Rioja,42.25,-2.5,47.98,79,100,7.14,ES,2022-04-12 00:08:25
140,Viedma,-40.8135,-62.9967,53.71,66,77,1.97,AR,2022-04-12 00:08:51
141,Arendonk,51.3227,5.0829,52.81,62,100,7.36,BE,2022-04-12 00:14:37
142,Ailigandi,9.2333,-78.0167,80.1,85,100,13.47,PA,2022-04-12 00:14:37
143,Piacabucu,-10.4056,-36.4344,77.97,74,20,7.87,BR,2022-04-12 00:10:58
144,Los Llanos De Aridane,28.6585,-17.9182,62.35,81,75,5.99,ES,2022-04-12 00:09:11
145,Rawson,-43.3002,-65.1023,58.5,50,83,18.23,AR,2022-04-12 00:09:08
146,Iqaluit,63.7506,-68.5145,16.7,72,40,15.99,CA,2022-04-12 00:09:20
147,Eyl,7.9803,49.8164,79.74,82,14,4.61,SO,2022-04-12 00:10:37
148,Kulhudhuffushi,6.6221,73.07,84.24,73,17,10.22,MV,2022-04-12 00:08:28
149,Gat,31.61,34.7642,59.81,100,33,8.25,IL,2022-04-12 00:06:30
150,Nalut,30.3333,10.85,64.56,35,51,19.37,LY,2022-04-12 00:08:52
151,Berlevag,70.8578,29.0864,28.2,83,97,9.6,NO,2022-04-12 00:09:57
152,Birin,26.8865,88.0718,58.66,89,61,1.81,NP,2022-04-12 00:14:39
153,Bambous Virieux,-20.3428,57.7575,74.21,75,27,17.54,MU,2022-04-12 00:07:52
154,Wyszkow,52.5928,21.4584,41.14,88,35,4.9,PL,2022-04-12 00:14:40
155,Novaya Ladoga,60.1025,32.3019,32.52,92,77,4.52,RU,2022-04-12 00:14:40
156,Pimentel,-6.8367,-79.9342,68.74,86,78,16.2,PE,2022-04-12 00:14:41
157,Ponta Do Sol,32.6667,-17.1,61.43,72,90,12.01,PT,2022-04-12 00:07:29
158,Quatre Cocos,-20.2078,57.7625,74.08,72,53,17.31,MU,2022-04-12 00:08:15
159,Rorvik,64.8621,11.2373,40.39,77,100,6.13,NO,2022-04-12 00:09:21
160,Krasnoye,49.9145,24.6134,31.89,87,13,6.22,UA,2022-04-12 00:14:43
161,Aksu,41.1231,80.2644,58.68,35,89,7.47,CN,2022-04-12 00:14:43
162,Henties Bay,-22.116,14.2845,63.79,79,2,5.64,NA,2022-04-12 00:09:02
163,Tonj,7.2737,28.6822,77.74,62,100,3.33,SS,2022-04-12 00:14:44
164,Salinas,36.6777,-121.6555,59.99,53,0,27.63,US,2022-04-12 00:04:59
165,Itarema,-2.9248,-39.9167,78.19,84,78,9.66,BR,2022-04-12 00:08:48
166,Stromness,58.965,-3.296,42.87,83,100,21.99,GB,2022-04-12 00:14:45
167,Semey,50.4111,80.2275,30.42,74,0,4.47,KZ,2022-04-12 00:07:50
168,Thinadhoo,0.5333,72.9333,83.8,68,58,11.63,MV,2022-04-12 00:08:03
169,Ondjiva,-17.0667,15.7333,65.7,87,98,3.2,AO,2022-04-12 00:14:45
170,Bumba,2.1833,22.4667,70.88,88,42,2.21,CD,2022-04-12 00:14:45
171,Arraial Do Cabo,-22.9661,-42.0278,76.95,78,10,12.44,BR,2022-04-12 00:07:34
172,Dikson,73.5069,80.5464,11.37,93,100,23.62,RU,2022-04-12 00:07:34
173,Sabaudia,41.3003,13.0282,50.45,61,71,3.85,IT,2022-04-12 00:14:46
